Filename,Energy / hartree,Relative Energy / kJ mol**-1
test_1.gjf,-66.86764411,0.0
test_2.gjf,-66.8675977,0.12184945498935207
test_3.gjf,-66.86663256,2.6558245250031334
test_4.gjf,-66.86657735,2.8007783800013115
test_5.gjf,-66.86654046,2.8976330750119814
test_6.gjf,-66.86637462,3.3330459949961693
test_7.gjf,-66.86542611,5.823358999997808
test_8.gjf,-66.86536015,5.996536979999348
test_9.gjf,-66.86337012,11.221360745003949
test_10.gjf,-66.86336208,11.242469764996919
test_11.gjf,-66.86334286,11.292931874993386
test_12.gjf,-66.86327918,11.460123714984668
test_13.gjf,-66.86326883,11.487297640013068
test_14.gjf,-66.86326332,11.501764144997438
test_15.gjf,-66.86325073,11.534819189990095
test_16.gjf,-66.86277545,12.782666829999044
test_17.gjf,-66.86250938,13.481233614985946
test_18.gjf,-66.86248446,13.546661074989402
test_20.gjf,-66.86247503,13.571419540004499
test_19.gjf,-66.86247393,13.574307590019593
test_21.gjf,-66.86246327,13.602295419984749
test_22.gjf,-66.86245215,13.631490980012522
test_23.gjf,-66.86234514,13.912445734995664
test_24.gjf,-66.86215565,14.409951729987249
test_25.gjf,-66.8620983,14.560524155002582
test_26.gjf,-66.86208361,14.599092750003706
test_27.gjf,-66.86167045,15.683844329987153
test_28.gjf,-66.86159649,15.878026310010284
test_29.gjf,-66.8615834,15.912394104999628
test_30.gjf,-66.86144546,16.27455557500459
test_31.gjf,-66.86137912,16.44873124501406
test_33.gjf,-66.86135092,16.522770344983833
test_32.gjf,-66.86133805,16.556560530000006
test_34.gjf,-66.86104816,17.31766672501258
test_35.gjf,-66.86029356,19.29886902499522
test_38.gjf,-66.86025836,19.391286624993214
test_36.gjf,-66.86024185,19.4346336300166
test_37.gjf,-66.86021782,19.497724394994613
test_39.gjf,-66.86020308,19.536424264987943
test_40.gjf,-66.86020033,19.543644390007024
test_41.gjf,-66.85975839,20.70395786001162
test_42.gjf,-66.85966859,20.939727760005866
test_43.gjf,-66.85963543,21.026789340008428
test_44.gjf,-66.85963502,21.027865795004217
test_45.gjf,-66.85955735,21.2317883799938
test_46.gjf,-66.85924362,22.05548649499908
test_47.gjf,-66.85903047,22.61511182001889
test_48.gjf,-66.85895033,22.82551939000404
test_49.gjf,-66.85894419,22.84163995999468
test_50.gjf,-66.85890683,22.939728640014174
test_51.gjf,-66.85888871,22.987302699995546
test_52.gjf,-66.85881489,23.181117109988264
test_53.gjf,-66.85879558,23.231815514985627
test_54.gjf,-66.85875578,23.336310415012825
test_55.gjf,-66.85826412,24.627163744998263
