Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_1.xyz              ,Fluoxetine_2.xyz              ,99.73517                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_3.xyz              ,99.52534                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_4.xyz              ,99.38288                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_5.xyz              ,99.44503                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_6.xyz              ,98.54976                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_7.xyz              ,98.79652                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_8.xyz              ,98.83757                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_9.xyz              ,97.54712                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_10.xyz             ,97.57326                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_11.xyz             ,97.59953                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_12.xyz             ,97.55136                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_13.xyz             ,97.5623                       ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_14.xyz             ,97.50197                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_15.xyz             ,97.66228                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_16.xyz             ,98.18448                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_17.xyz             ,98.13517                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_18.xyz             ,97.16806                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_19.xyz             ,97.24635                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_20.xyz             ,97.24282                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_21.xyz             ,97.28712                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_22.xyz             ,97.05412                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_23.xyz             ,97.36722                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_24.xyz             ,98.66656                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_25.xyz             ,98.63101                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_26.xyz             ,98.70251                      ,No                            
Fluoxetine_1.xyz              ,Fluoxetine_27.xyz             ,97.59276                      ,Yes                           
Fluoxetine_1.xyz              ,Fluoxetine_28.xyz             ,97.62859                      ,Yes                           
