Molecule 1                    ,Molecule 2                    ,Cosine Similarity             ,Molecule 2 unique?            
Fluoxetine_1.gjf              ,Fluoxetine_2.gjf              ,99.73517                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_3.gjf              ,99.52534                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_4.gjf              ,99.38288                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_5.gjf              ,99.44503                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_6.gjf              ,98.54976                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_7.gjf              ,98.79652                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_8.gjf              ,98.83757                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_9.gjf              ,97.54712                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_10.gjf             ,97.57326                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_11.gjf             ,97.59953                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_12.gjf             ,97.55136                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_13.gjf             ,97.5623                       ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_14.gjf             ,97.50197                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_15.gjf             ,97.66228                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_16.gjf             ,98.18448                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_17.gjf             ,98.13517                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_18.gjf             ,97.16806                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_19.gjf             ,97.24635                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_20.gjf             ,97.24282                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_21.gjf             ,97.28712                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_22.gjf             ,97.05412                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_23.gjf             ,97.36722                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_24.gjf             ,98.66656                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_25.gjf             ,98.63101                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_26.gjf             ,98.70251                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_27.gjf             ,97.59276                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_28.gjf             ,97.62859                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_29.gjf             ,97.64893                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_30.gjf             ,98.55886                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_31.gjf             ,98.55369                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_32.gjf             ,99.41764                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_33.gjf             ,99.32104                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_34.gjf             ,99.29941                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_35.gjf             ,97.94419                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_36.gjf             ,97.94283                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_37.gjf             ,97.90142                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_38.gjf             ,97.9039                       ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_39.gjf             ,99.32454                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_40.gjf             ,97.97633                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_41.gjf             ,98.31372                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_42.gjf             ,98.31337                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_43.gjf             ,97.62307                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_44.gjf             ,97.61972                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_45.gjf             ,97.61025                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_46.gjf             ,96.83156                      ,Yes                           
Fluoxetine_1.gjf              ,Fluoxetine_47.gjf             ,97.63004                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_48.gjf             ,97.62958                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_49.gjf             ,97.58408                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_50.gjf             ,97.32272                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_51.gjf             ,97.34108                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_52.gjf             ,97.33306                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_53.gjf             ,97.35977                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_54.gjf             ,97.39872                      ,No                            
Fluoxetine_1.gjf              ,Fluoxetine_55.gjf             ,98.01324                      ,No                            
