Molecule 1                    ,Molecule 2                    ,Cosine Similarity             
Fluoxetine_1.gjf              ,Fluoxetine_2.gjf              ,99.73517                      
Fluoxetine_1.gjf              ,Fluoxetine_3.gjf              ,99.52534                      
Fluoxetine_1.gjf              ,Fluoxetine_4.gjf              ,99.38288                      
Fluoxetine_1.gjf              ,Fluoxetine_5.gjf              ,99.44503                      
Fluoxetine_1.gjf              ,Fluoxetine_6.gjf              ,98.54976                      
Fluoxetine_1.gjf              ,Fluoxetine_7.gjf              ,98.79652                      
Fluoxetine_1.gjf              ,Fluoxetine_8.gjf              ,98.83757                      
Fluoxetine_1.gjf              ,Fluoxetine_9.gjf              ,97.54712                      
Fluoxetine_1.gjf              ,Fluoxetine_10.gjf             ,97.57326                      
Fluoxetine_1.gjf              ,Fluoxetine_11.gjf             ,97.59953                      
Fluoxetine_1.gjf              ,Fluoxetine_12.gjf             ,97.55136                      
Fluoxetine_1.gjf              ,Fluoxetine_13.gjf             ,97.5623                       
Fluoxetine_1.gjf              ,Fluoxetine_14.gjf             ,97.50197                      
Fluoxetine_1.gjf              ,Fluoxetine_15.gjf             ,97.66228                      
Fluoxetine_1.gjf              ,Fluoxetine_16.gjf             ,98.18448                      
Fluoxetine_1.gjf              ,Fluoxetine_17.gjf             ,98.13517                      
Fluoxetine_1.gjf              ,Fluoxetine_18.gjf             ,97.16806                      
Fluoxetine_1.gjf              ,Fluoxetine_19.gjf             ,97.24635                      
Fluoxetine_1.gjf              ,Fluoxetine_20.gjf             ,97.24282                      
Fluoxetine_1.gjf              ,Fluoxetine_21.gjf             ,97.28712                      
Fluoxetine_1.gjf              ,Fluoxetine_22.gjf             ,97.05412                      
Fluoxetine_1.gjf              ,Fluoxetine_23.gjf             ,97.36722                      
Fluoxetine_1.gjf              ,Fluoxetine_24.gjf             ,98.66656                      
Fluoxetine_1.gjf              ,Fluoxetine_25.gjf             ,98.63101                      
Fluoxetine_1.gjf              ,Fluoxetine_26.gjf             ,98.70251                      
Fluoxetine_1.gjf              ,Fluoxetine_27.gjf             ,97.59276                      
Fluoxetine_1.gjf              ,Fluoxetine_28.gjf             ,97.62859                      
Fluoxetine_1.gjf              ,Fluoxetine_29.gjf             ,97.64893                      
Fluoxetine_1.gjf              ,Fluoxetine_30.gjf             ,98.55886                      
Fluoxetine_1.gjf              ,Fluoxetine_31.gjf             ,98.55369                      
Fluoxetine_1.gjf              ,Fluoxetine_32.gjf             ,99.41764                      
Fluoxetine_1.gjf              ,Fluoxetine_33.gjf             ,99.32104                      
Fluoxetine_1.gjf              ,Fluoxetine_34.gjf             ,99.29941                      
Fluoxetine_1.gjf              ,Fluoxetine_35.gjf             ,97.94419                      
Fluoxetine_1.gjf              ,Fluoxetine_36.gjf             ,97.94283                      
Fluoxetine_1.gjf              ,Fluoxetine_37.gjf             ,97.90142                      
Fluoxetine_1.gjf              ,Fluoxetine_38.gjf             ,97.9039                       
Fluoxetine_1.gjf              ,Fluoxetine_39.gjf             ,99.32454                      
Fluoxetine_1.gjf              ,Fluoxetine_40.gjf             ,97.97633                      
Fluoxetine_1.gjf              ,Fluoxetine_41.gjf             ,98.31372                      
Fluoxetine_1.gjf              ,Fluoxetine_42.gjf             ,98.31337                      
Fluoxetine_1.gjf              ,Fluoxetine_43.gjf             ,97.62307                      
Fluoxetine_1.gjf              ,Fluoxetine_44.gjf             ,97.61972                      
Fluoxetine_1.gjf              ,Fluoxetine_45.gjf             ,97.61025                      
Fluoxetine_1.gjf              ,Fluoxetine_46.gjf             ,96.83156                      
Fluoxetine_1.gjf              ,Fluoxetine_47.gjf             ,97.63004                      
Fluoxetine_1.gjf              ,Fluoxetine_48.gjf             ,97.62958                      
Fluoxetine_1.gjf              ,Fluoxetine_49.gjf             ,97.58408                      
Fluoxetine_1.gjf              ,Fluoxetine_50.gjf             ,97.32272                      
Fluoxetine_1.gjf              ,Fluoxetine_51.gjf             ,97.34108                      
Fluoxetine_1.gjf              ,Fluoxetine_52.gjf             ,97.33306                      
Fluoxetine_1.gjf              ,Fluoxetine_53.gjf             ,97.35977                      
Fluoxetine_1.gjf              ,Fluoxetine_54.gjf             ,97.39872                      
Fluoxetine_1.gjf              ,Fluoxetine_55.gjf             ,98.01324                      
Fluoxetine_6.gjf              ,Fluoxetine_7.gjf              ,99.57607                      
Fluoxetine_6.gjf              ,Fluoxetine_8.gjf              ,99.46168                      
Fluoxetine_6.gjf              ,Fluoxetine_9.gjf              ,97.97769                      
Fluoxetine_6.gjf              ,Fluoxetine_10.gjf             ,98.01941                      
Fluoxetine_6.gjf              ,Fluoxetine_11.gjf             ,98.05684                      
Fluoxetine_6.gjf              ,Fluoxetine_12.gjf             ,97.96482                      
Fluoxetine_6.gjf              ,Fluoxetine_13.gjf             ,97.98863                      
Fluoxetine_6.gjf              ,Fluoxetine_14.gjf             ,97.92778                      
Fluoxetine_6.gjf              ,Fluoxetine_15.gjf             ,98.10432                      
Fluoxetine_6.gjf              ,Fluoxetine_16.gjf             ,98.25523                      
Fluoxetine_6.gjf              ,Fluoxetine_17.gjf             ,98.5312                       
Fluoxetine_6.gjf              ,Fluoxetine_18.gjf             ,97.63268                      
Fluoxetine_6.gjf              ,Fluoxetine_19.gjf             ,97.73567                      
Fluoxetine_6.gjf              ,Fluoxetine_20.gjf             ,97.72982                      
Fluoxetine_6.gjf              ,Fluoxetine_21.gjf             ,97.78692                      
Fluoxetine_6.gjf              ,Fluoxetine_22.gjf             ,97.49607                      
Fluoxetine_6.gjf              ,Fluoxetine_23.gjf             ,97.87647                      
Fluoxetine_6.gjf              ,Fluoxetine_24.gjf             ,98.12652                      
Fluoxetine_6.gjf              ,Fluoxetine_25.gjf             ,98.20733                      
Fluoxetine_6.gjf              ,Fluoxetine_26.gjf             ,98.18209                      
Fluoxetine_6.gjf              ,Fluoxetine_27.gjf             ,98.00167                      
Fluoxetine_6.gjf              ,Fluoxetine_28.gjf             ,98.03187                      
Fluoxetine_6.gjf              ,Fluoxetine_29.gjf             ,98.04408                      
Fluoxetine_6.gjf              ,Fluoxetine_30.gjf             ,98.00483                      
Fluoxetine_6.gjf              ,Fluoxetine_31.gjf             ,98.08297                      
Fluoxetine_6.gjf              ,Fluoxetine_35.gjf             ,98.62447                      
Fluoxetine_6.gjf              ,Fluoxetine_36.gjf             ,98.62252                      
Fluoxetine_6.gjf              ,Fluoxetine_37.gjf             ,98.48315                      
Fluoxetine_6.gjf              ,Fluoxetine_38.gjf             ,98.49467                      
Fluoxetine_6.gjf              ,Fluoxetine_40.gjf             ,98.60418                      
Fluoxetine_6.gjf              ,Fluoxetine_41.gjf             ,98.78151                      
Fluoxetine_6.gjf              ,Fluoxetine_42.gjf             ,98.70252                      
Fluoxetine_6.gjf              ,Fluoxetine_43.gjf             ,98.03859                      
Fluoxetine_6.gjf              ,Fluoxetine_44.gjf             ,98.03695                      
Fluoxetine_6.gjf              ,Fluoxetine_45.gjf             ,97.97604                      
Fluoxetine_6.gjf              ,Fluoxetine_46.gjf             ,97.28807                      
Fluoxetine_6.gjf              ,Fluoxetine_47.gjf             ,97.98033                      
Fluoxetine_6.gjf              ,Fluoxetine_48.gjf             ,97.92464                      
Fluoxetine_6.gjf              ,Fluoxetine_49.gjf             ,97.98383                      
Fluoxetine_6.gjf              ,Fluoxetine_50.gjf             ,97.79366                      
Fluoxetine_6.gjf              ,Fluoxetine_51.gjf             ,97.80813                      
Fluoxetine_6.gjf              ,Fluoxetine_52.gjf             ,97.80193                      
Fluoxetine_6.gjf              ,Fluoxetine_53.gjf             ,97.82691                      
Fluoxetine_6.gjf              ,Fluoxetine_54.gjf             ,97.86919                      
Fluoxetine_6.gjf              ,Fluoxetine_55.gjf             ,98.15968                      
Fluoxetine_9.gjf              ,Fluoxetine_10.gjf             ,99.84806                      
Fluoxetine_9.gjf              ,Fluoxetine_11.gjf             ,99.7337                       
Fluoxetine_9.gjf              ,Fluoxetine_12.gjf             ,99.91084                      
Fluoxetine_9.gjf              ,Fluoxetine_13.gjf             ,99.93317                      
Fluoxetine_9.gjf              ,Fluoxetine_14.gjf             ,99.88434                      
Fluoxetine_9.gjf              ,Fluoxetine_15.gjf             ,99.6216                       
Fluoxetine_9.gjf              ,Fluoxetine_16.gjf             ,98.55672                      
Fluoxetine_9.gjf              ,Fluoxetine_17.gjf             ,97.71149                      
Fluoxetine_9.gjf              ,Fluoxetine_18.gjf             ,98.99996                      
Fluoxetine_9.gjf              ,Fluoxetine_19.gjf             ,99.10985                      
Fluoxetine_9.gjf              ,Fluoxetine_20.gjf             ,99.10797                      
Fluoxetine_9.gjf              ,Fluoxetine_21.gjf             ,99.17084                      
Fluoxetine_9.gjf              ,Fluoxetine_22.gjf             ,98.87306                      
Fluoxetine_9.gjf              ,Fluoxetine_23.gjf             ,99.23747                      
Fluoxetine_9.gjf              ,Fluoxetine_24.gjf             ,97.95383                      
Fluoxetine_9.gjf              ,Fluoxetine_25.gjf             ,98.07176                      
Fluoxetine_9.gjf              ,Fluoxetine_26.gjf             ,98.03215                      
Fluoxetine_9.gjf              ,Fluoxetine_27.gjf             ,99.3374                       
Fluoxetine_9.gjf              ,Fluoxetine_28.gjf             ,99.26683                      
Fluoxetine_9.gjf              ,Fluoxetine_29.gjf             ,99.23331                      
Fluoxetine_9.gjf              ,Fluoxetine_30.gjf             ,97.96266                      
Fluoxetine_9.gjf              ,Fluoxetine_31.gjf             ,98.08815                      
Fluoxetine_9.gjf              ,Fluoxetine_35.gjf             ,97.81898                      
Fluoxetine_9.gjf              ,Fluoxetine_36.gjf             ,97.84368                      
Fluoxetine_9.gjf              ,Fluoxetine_37.gjf             ,97.79277                      
Fluoxetine_9.gjf              ,Fluoxetine_38.gjf             ,97.76158                      
Fluoxetine_9.gjf              ,Fluoxetine_40.gjf             ,97.82334                      
Fluoxetine_9.gjf              ,Fluoxetine_41.gjf             ,97.60726                      
Fluoxetine_9.gjf              ,Fluoxetine_42.gjf             ,97.66453                      
Fluoxetine_9.gjf              ,Fluoxetine_43.gjf             ,98.83017                      
Fluoxetine_9.gjf              ,Fluoxetine_44.gjf             ,98.83122                      
Fluoxetine_9.gjf              ,Fluoxetine_45.gjf             ,98.78725                      
Fluoxetine_9.gjf              ,Fluoxetine_46.gjf             ,97.29655                      
Fluoxetine_9.gjf              ,Fluoxetine_47.gjf             ,98.87426                      
Fluoxetine_9.gjf              ,Fluoxetine_48.gjf             ,98.82019                      
Fluoxetine_9.gjf              ,Fluoxetine_49.gjf             ,98.88144                      
Fluoxetine_9.gjf              ,Fluoxetine_50.gjf             ,99.36941                      
Fluoxetine_9.gjf              ,Fluoxetine_51.gjf             ,99.38325                      
Fluoxetine_9.gjf              ,Fluoxetine_52.gjf             ,99.38099                      
Fluoxetine_9.gjf              ,Fluoxetine_53.gjf             ,99.42716                      
Fluoxetine_9.gjf              ,Fluoxetine_54.gjf             ,99.44553                      
Fluoxetine_9.gjf              ,Fluoxetine_55.gjf             ,98.7986                       
Fluoxetine_16.gjf             ,Fluoxetine_17.gjf             ,98.11475                      
Fluoxetine_16.gjf             ,Fluoxetine_18.gjf             ,98.08844                      
Fluoxetine_16.gjf             ,Fluoxetine_22.gjf             ,97.93625                      
Fluoxetine_16.gjf             ,Fluoxetine_24.gjf             ,97.97421                      
Fluoxetine_16.gjf             ,Fluoxetine_25.gjf             ,98.04701                      
Fluoxetine_16.gjf             ,Fluoxetine_26.gjf             ,98.05311                      
Fluoxetine_16.gjf             ,Fluoxetine_30.gjf             ,97.94333                      
Fluoxetine_16.gjf             ,Fluoxetine_31.gjf             ,98.03392                      
Fluoxetine_16.gjf             ,Fluoxetine_35.gjf             ,97.73796                      
Fluoxetine_16.gjf             ,Fluoxetine_36.gjf             ,97.74203                      
Fluoxetine_16.gjf             ,Fluoxetine_37.gjf             ,97.68589                      
Fluoxetine_16.gjf             ,Fluoxetine_38.gjf             ,97.67471                      
Fluoxetine_16.gjf             ,Fluoxetine_40.gjf             ,97.74409                      
Fluoxetine_16.gjf             ,Fluoxetine_41.gjf             ,97.9902                       
Fluoxetine_16.gjf             ,Fluoxetine_42.gjf             ,97.99391                      
Fluoxetine_16.gjf             ,Fluoxetine_43.gjf             ,98.41754                      
Fluoxetine_16.gjf             ,Fluoxetine_44.gjf             ,98.41507                      
Fluoxetine_16.gjf             ,Fluoxetine_45.gjf             ,98.39365                      
Fluoxetine_16.gjf             ,Fluoxetine_46.gjf             ,96.94891                      
Fluoxetine_16.gjf             ,Fluoxetine_47.gjf             ,98.44162                      
Fluoxetine_16.gjf             ,Fluoxetine_48.gjf             ,98.44762                      
Fluoxetine_16.gjf             ,Fluoxetine_49.gjf             ,98.41551                      
Fluoxetine_16.gjf             ,Fluoxetine_55.gjf             ,98.91701                      
Fluoxetine_17.gjf             ,Fluoxetine_18.gjf             ,97.55535                      
Fluoxetine_17.gjf             ,Fluoxetine_22.gjf             ,97.47765                      
Fluoxetine_17.gjf             ,Fluoxetine_24.gjf             ,98.13081                      
Fluoxetine_17.gjf             ,Fluoxetine_25.gjf             ,98.15112                      
Fluoxetine_17.gjf             ,Fluoxetine_26.gjf             ,98.12573                      
Fluoxetine_17.gjf             ,Fluoxetine_30.gjf             ,97.98847                      
Fluoxetine_17.gjf             ,Fluoxetine_31.gjf             ,98.00798                      
Fluoxetine_17.gjf             ,Fluoxetine_35.gjf             ,98.49313                      
Fluoxetine_17.gjf             ,Fluoxetine_36.gjf             ,98.47726                      
Fluoxetine_17.gjf             ,Fluoxetine_37.gjf             ,98.41855                      
Fluoxetine_17.gjf             ,Fluoxetine_38.gjf             ,98.49055                      
Fluoxetine_17.gjf             ,Fluoxetine_40.gjf             ,98.44991                      
Fluoxetine_17.gjf             ,Fluoxetine_41.gjf             ,98.25085                      
Fluoxetine_17.gjf             ,Fluoxetine_42.gjf             ,98.33466                      
Fluoxetine_17.gjf             ,Fluoxetine_43.gjf             ,97.53744                      
Fluoxetine_17.gjf             ,Fluoxetine_44.gjf             ,97.53506                      
Fluoxetine_17.gjf             ,Fluoxetine_45.gjf             ,97.44346                      
Fluoxetine_17.gjf             ,Fluoxetine_46.gjf             ,97.8936                       
Fluoxetine_17.gjf             ,Fluoxetine_47.gjf             ,97.46809                      
Fluoxetine_17.gjf             ,Fluoxetine_48.gjf             ,97.42586                      
Fluoxetine_17.gjf             ,Fluoxetine_49.gjf             ,97.45918                      
Fluoxetine_17.gjf             ,Fluoxetine_55.gjf             ,97.72205                      
Fluoxetine_18.gjf             ,Fluoxetine_22.gjf             ,99.70069                      
Fluoxetine_18.gjf             ,Fluoxetine_24.gjf             ,97.75904                      
Fluoxetine_18.gjf             ,Fluoxetine_25.gjf             ,97.86655                      
Fluoxetine_18.gjf             ,Fluoxetine_26.gjf             ,97.81484                      
Fluoxetine_18.gjf             ,Fluoxetine_30.gjf             ,97.7861                       
Fluoxetine_18.gjf             ,Fluoxetine_31.gjf             ,97.89891                      
Fluoxetine_18.gjf             ,Fluoxetine_35.gjf             ,97.63605                      
Fluoxetine_18.gjf             ,Fluoxetine_36.gjf             ,97.66343                      
Fluoxetine_18.gjf             ,Fluoxetine_37.gjf             ,97.63231                      
Fluoxetine_18.gjf             ,Fluoxetine_38.gjf             ,97.61411                      
Fluoxetine_18.gjf             ,Fluoxetine_40.gjf             ,97.63307                      
Fluoxetine_18.gjf             ,Fluoxetine_41.gjf             ,97.29897                      
Fluoxetine_18.gjf             ,Fluoxetine_42.gjf             ,97.40228                      
Fluoxetine_18.gjf             ,Fluoxetine_43.gjf             ,98.04588                      
Fluoxetine_18.gjf             ,Fluoxetine_44.gjf             ,98.04538                      
Fluoxetine_18.gjf             ,Fluoxetine_45.gjf             ,97.99166                      
Fluoxetine_18.gjf             ,Fluoxetine_46.gjf             ,97.5259                       
Fluoxetine_18.gjf             ,Fluoxetine_47.gjf             ,98.18238                      
Fluoxetine_18.gjf             ,Fluoxetine_48.gjf             ,98.07465                      
Fluoxetine_18.gjf             ,Fluoxetine_49.gjf             ,98.20732                      
Fluoxetine_18.gjf             ,Fluoxetine_55.gjf             ,98.24372                      
Fluoxetine_24.gjf             ,Fluoxetine_25.gjf             ,99.63391                      
Fluoxetine_24.gjf             ,Fluoxetine_26.gjf             ,99.79285                      
Fluoxetine_24.gjf             ,Fluoxetine_30.gjf             ,99.63778                      
Fluoxetine_24.gjf             ,Fluoxetine_31.gjf             ,99.53714                      
Fluoxetine_24.gjf             ,Fluoxetine_35.gjf             ,98.03455                      
Fluoxetine_24.gjf             ,Fluoxetine_36.gjf             ,98.0556                       
Fluoxetine_24.gjf             ,Fluoxetine_37.gjf             ,98.04614                      
Fluoxetine_24.gjf             ,Fluoxetine_38.gjf             ,98.04692                      
Fluoxetine_24.gjf             ,Fluoxetine_40.gjf             ,98.06232                      
Fluoxetine_24.gjf             ,Fluoxetine_41.gjf             ,97.79419                      
Fluoxetine_24.gjf             ,Fluoxetine_42.gjf             ,97.90237                      
Fluoxetine_24.gjf             ,Fluoxetine_43.gjf             ,97.75749                      
Fluoxetine_24.gjf             ,Fluoxetine_44.gjf             ,97.75452                      
Fluoxetine_24.gjf             ,Fluoxetine_45.gjf             ,97.70709                      
Fluoxetine_24.gjf             ,Fluoxetine_46.gjf             ,97.50726                      
Fluoxetine_24.gjf             ,Fluoxetine_47.gjf             ,97.78358                      
Fluoxetine_24.gjf             ,Fluoxetine_48.gjf             ,97.73763                      
Fluoxetine_24.gjf             ,Fluoxetine_49.gjf             ,97.74863                      
Fluoxetine_24.gjf             ,Fluoxetine_55.gjf             ,97.96609                      
Fluoxetine_35.gjf             ,Fluoxetine_36.gjf             ,99.87662                      
Fluoxetine_35.gjf             ,Fluoxetine_37.gjf             ,99.46286                      
Fluoxetine_35.gjf             ,Fluoxetine_38.gjf             ,99.68853                      
Fluoxetine_35.gjf             ,Fluoxetine_40.gjf             ,99.62863                      
Fluoxetine_35.gjf             ,Fluoxetine_41.gjf             ,98.80951                      
Fluoxetine_35.gjf             ,Fluoxetine_42.gjf             ,98.8876                       
Fluoxetine_35.gjf             ,Fluoxetine_43.gjf             ,97.6354                       
Fluoxetine_35.gjf             ,Fluoxetine_44.gjf             ,97.63318                      
Fluoxetine_35.gjf             ,Fluoxetine_45.gjf             ,97.5649                       
Fluoxetine_35.gjf             ,Fluoxetine_46.gjf             ,98.06781                      
Fluoxetine_35.gjf             ,Fluoxetine_47.gjf             ,97.59328                      
Fluoxetine_35.gjf             ,Fluoxetine_48.gjf             ,97.54444                      
Fluoxetine_35.gjf             ,Fluoxetine_49.gjf             ,97.58302                      
Fluoxetine_35.gjf             ,Fluoxetine_55.gjf             ,97.64601                      
Fluoxetine_41.gjf             ,Fluoxetine_42.gjf             ,99.45679                      
Fluoxetine_41.gjf             ,Fluoxetine_43.gjf             ,97.56199                      
Fluoxetine_41.gjf             ,Fluoxetine_44.gjf             ,97.55965                      
Fluoxetine_41.gjf             ,Fluoxetine_45.gjf             ,97.55142                      
Fluoxetine_41.gjf             ,Fluoxetine_46.gjf             ,97.1495                       
Fluoxetine_41.gjf             ,Fluoxetine_47.gjf             ,97.53429                      
Fluoxetine_41.gjf             ,Fluoxetine_48.gjf             ,97.5261                       
Fluoxetine_41.gjf             ,Fluoxetine_49.gjf             ,97.50072                      
Fluoxetine_41.gjf             ,Fluoxetine_55.gjf             ,97.78084                      
Fluoxetine_43.gjf             ,Fluoxetine_44.gjf             ,99.98939                      
